appln_id,IPC,earliest_filing_year,Company
332932138,E05F,2010,goldwind
332932138,F03D,2010,goldwind
333349212,F16F,2010,goldwind
333349212,F03D,2010,goldwind
333472762,B01D,2010,goldwind
333472762,F03D,2010,goldwind
333708786,F03D,2010,goldwind
334103086,F03D,2010,goldwind
334663044,H02K,2010,goldwind
335171723,F16F,2010,goldwind
335171723,F03D,2010,goldwind
364262535,F16D,2011,goldwind
364262535,F03D,2011,goldwind
364262536,G08B,2011,goldwind
364262536,F03D,2011,goldwind
364262541,F03D,2011,goldwind
364262545,F03D,2011,goldwind
364262545,F28D,2011,goldwind
364416577,G01R,2011,goldwind
364423990,F16L,2011,goldwind
364423990,F03D,2011,goldwind
365164000,B23P,2012,goldwind
365469099,F03D,2011,goldwind
365877896,F16J,2011,goldwind
365877896,F03D,2011,goldwind
365886442,B66C,2011,goldwind
365886442,F03D,2011,goldwind
365886442,B66D,2011,goldwind
375800034,H02K,2012,goldwind
375951273,G01R,2012,goldwind
375951273,G01M,2012,goldwind
376325530,F03D,2012,goldwind
376325530,G06F,2012,goldwind
380963564,H02J,2012,goldwind
404908715,F03D,2012,goldwind
405158468,H02K,2011,goldwind
405158468,F03D,2011,goldwind
406927595,F03D,2011,goldwind
406927595,B66D,2011,goldwind
406927595,B66C,2011,goldwind
406950107,F03D,2012,goldwind
406950107,H02K,2012,goldwind
407289674,F03D,2011,goldwind
407306302,E02D,2012,goldwind
407306302,E04H,2012,goldwind
407307007,F03D,2012,goldwind
407640921,F03D,2011,goldwind
408695909,F16H,2013,goldwind
409640096,B29C,2013,goldwind
409846193,H02P,2012,goldwind
410058414,B29L,2013,goldwind
410058414,B29C,2013,goldwind
410226424,F16H,2013,goldwind
410393333,F03D,2013,goldwind
410393333,H02G,2013,goldwind
411166894,F03D,2013,goldwind
412451627,B65G,2013,goldwind
412667098,B29C,2013,goldwind
412681600,H02G,2013,goldwind
412946107,B24B,2013,goldwind
412967873,H02K,2013,goldwind
414393832,F03D,2013,goldwind
414749424,B65G,2013,goldwind
414751999,F03D,2013,goldwind
415830328,F03D,2012,goldwind
416387537,B24B,2013,goldwind
416438736,H02J,2012,goldwind
416802509,F03D,2014,goldwind
416802509,B63B,2014,goldwind
417223662,H02K,2013,goldwind
419081999,B63B,2014,goldwind
419081999,F03D,2014,goldwind
419556636,C22C,2012,goldwind
419556636,B22C,2012,goldwind
420845916,B63B,2014,goldwind
420979152,H02M,2014,goldwind
421552447,G01M,2014,goldwind
421552447,G01R,2014,goldwind
421578526,B66C,2014,goldwind
421647844,G01R,2014,goldwind
423377543,F24H,2014,goldwind
423776721,C21D,2014,goldwind
423779284,F03D,2014,goldwind
423781384,G01H,2014,goldwind
423961509,C21D,2014,goldwind
423962735,E02D,2014,goldwind
424169691,A62C,2014,goldwind
424169691,G08B,2014,goldwind
424221201,F03D,2014,goldwind
424674124,B29C,2014,goldwind
424748501,H02J,2014,goldwind
424776312,F03D,2014,goldwind
424776312,G01R,2014,goldwind
425163913,F03D,2014,goldwind
425210073,F03D,2014,goldwind
425218132,G01R,2014,goldwind
425277109,F03D,2014,goldwind
425385759,G01R,2014,goldwind
